PERMNO,date,TICKER,COMNAM,PRC,CFACPR
11308,19860430,KO,COCA COLA CO,111.50000,48.918179
11308,19860530,KO,COCA COLA CO,116.00000,48.918179
11308,19860630,KO,COCA COLA CO,125.50000,48.918179
11308,19860731,KO,COCA COLA CO,39.12500,16.306059
11308,19860829,KO,COCA COLA CO,37.87500,16.306059
11308,19860930,KO,COCA COLA CO,33.87500,16.306059
11308,19861031,KO,COCA COLA CO,36.62500,16.306059
11308,19861128,KO,COCA COLA CO,36.50000,16.306059
11308,19861231,KO,COCA COLA CO,37.75000,16.306059
11308,19870130,KO,COCA COLA CO,42.62500,16.306059
11308,19870227,KO,COCA COLA CO,44.87500,16.306059
11308,19870331,KO,COCA COLA CO,45.75000,16.306059
11308,19870430,KO,COCA COLA CO,42.62500,16.306059
11308,19870529,KO,COCA COLA CO,42.87500,16.306059
11308,19870630,KO,COCA COLA CO,44.50000,16.306059
11308,19870731,KO,COCA COLA CO,47.62500,16.306059
11308,19870831,KO,COCA COLA CO,50.62500,16.306059
11308,19870930,KO,COCA COLA CO,48.37500,16.306059
11308,19871030,KO,COCA COLA CO,41.25000,16.306059
11308,19871130,KO,COCA COLA CO,37.00000,16.306059
11308,19871231,KO,COCA COLA CO,38.12500,16.306059
11308,19880129,KO,COCA COLA CO,37.62500,16
11308,19880229,KO,COCA COLA CO,37.37500,16
11308,19880331,KO,COCA COLA CO,38.25000,16
11308,19880429,KO,COCA COLA CO,38.25000,16
11308,19880531,KO,COCA COLA CO,38.00000,16
11308,19880630,KO,COCA COLA CO,39.00000,16
11308,19880729,KO,COCA COLA CO,38.37500,16
11308,19880831,KO,COCA COLA CO,40.00000,16
11308,19880930,KO,COCA COLA CO,43.75000,16
11308,19881031,KO,COCA COLA CO,43.12500,16
11308,19881130,KO,COCA COLA CO,43.37500,16
11308,19881230,KO,COCA COLA CO,44.62500,16
11308,19890131,KO,COCA COLA CO,46.75000,16
11308,19890228,KO,COCA COLA CO,47.75000,16
11308,19890331,KO,COCA COLA CO,51.25000,16
11308,19890428,KO,COCA COLA CO,54.25000,16
11308,19890531,KO,COCA COLA CO,57.75000,16
11308,19890630,KO,COCA COLA CO,56.37500,16
11308,19890731,KO,COCA COLA CO,68.00000,16
11308,19890831,KO,COCA COLA CO,66.50000,16
11308,19890929,KO,COCA COLA CO,67.00000,16
11308,19891031,KO,COCA COLA CO,72.37500,16
11308,19891130,KO,COCA COLA CO,77.25000,16
11308,19891229,KO,COCA COLA CO,77.25000,16
11703,19791231,DD,DU PONT E I DE NEMOURS & CO,40.37500,6.322514
11703,19800131,DD,DU PONT E I DE NEMOURS & CO,40.75000,6.322514
11703,19800229,DD,DU PONT E I DE NEMOURS & CO,38.00000,6.322514
11703,19800331,DD,DU PONT E I DE NEMOURS & CO,34.62500,6.322514
11703,19800430,DD,DU PONT E I DE NEMOURS & CO,36.50000,6.322514
11703,19800530,DD,DU PONT E I DE NEMOURS & CO,39.37500,6.322514
11703,19800630,DD,DU PONT E I DE NEMOURS & CO,41.87500,6.322514
