Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,138.669998,139.000000,127.800003,129.869995,129.869995,353019800
2011-02-01,130.520004,138.199997,129.279999,137.660004,137.660004,238786500
2011-03-01,138.570007,141.279999,135.229996,139.860001,139.860001,306448400
2011-04-01,138.649994,153.029999,137.720001,152.369995,152.369995,303490300
2011-05-01,151.460007,153.610001,142.550003,149.639999,149.639999,382778500
2011-06-01,149.660004,151.860001,145.199997,146.000000,146.000000,291338100
2011-07-01,144.759995,159.250000,143.970001,158.289993,158.289993,328150200
2011-08-01,157.470001,184.820007,156.779999,177.720001,177.720001,768547400
2011-09-01,177.440002,185.850006,154.190002,158.059998,158.059998,496007600
2011-10-01,161.089996,170.289993,155.270004,167.339996,167.339996,271385800
2011-11-01,164.029999,175.460007,162.070007,170.130005,170.130005,285132800
2011-12-01,169.850006,170.800003,148.270004,151.990005,151.990005,292635000
2012-01-01,154.759995,169.860001,154.550003,169.309998,169.309998,223453900
2012-02-01,169.750000,174.000000,164.000000,164.289993,164.289993,259837600
2012-03-01,166.100006,167.720001,158.130005,162.119995,162.119995,272582900
2012-04-01,161.960007,163.559998,156.580002,161.880005,161.880005,198905400
2012-05-01,162.089996,162.179993,148.529999,151.619995,151.619995,256298600
2012-06-01,155.410004,159.199997,150.149994,155.190002,155.190002,237977300
2012-07-01,154.669998,157.960007,150.850006,156.490005,156.490005,155221000
2012-08-01,155.179993,164.220001,153.610001,164.220001,164.220001,190757200
2012-09-01,164.110001,173.179993,163.660004,171.889999,171.889999,229736700
2012-10-01,172.830002,174.070007,164.600006,166.830002,166.830002,165237600
2012-11-01,167.020004,170.009995,162.300003,166.050003,166.050003,173575600
2012-12-01,166.110001,166.940002,158.389999,162.020004,162.020004,200021700
2013-01-01,163.490005,164.399994,158.889999,161.199997,161.199997,222470200
2013-02-01,162.660004,162.960007,150.839996,153.000000,153.000000,241668700
2013-03-01,153.160004,156.429993,151.399994,154.449997,154.449997,160615100
2013-04-01,154.570007,154.929993,130.509995,142.770004,142.770004,454473800
2013-05-01,140.589996,142.809998,130.850006,133.919998,133.919998,278779500
2013-06-01,134.770004,137.619995,114.680000,119.110001,119.110001,254151000
2013-07-01,119.940002,130.139999,116.739998,127.959999,127.959999,191322900
2013-08-01,127.839996,137.550003,123.550003,134.619995,134.619995,194596100
2013-09-01,135.460007,136.789993,125.150002,128.179993,128.179993,203875800
2013-10-01,125.250000,131.440002,121.849998,127.739998,127.739998,203478400
2013-11-01,126.860001,127.519997,119.129997,120.699997,120.699997,130629300
2013-12-01,119.199997,122.320000,114.459999,116.120003,116.120003,185368200
2014-01-01,117.930000,122.510002,117.110001,120.089996,120.089996,152949800
2014-02-01,120.470001,129.529999,120.320000,127.620003,127.620003,156504800
2014-03-01,130.000000,133.690002,123.570000,123.610001,123.610001,182522600
2014-04-01,123.709999,128.250000,122.839996,124.220001,124.220001,127851700
2014-05-01,123.169998,126.629997,119.620003,120.430000,120.430000,113286900
2014-06-01,119.930000,128.039993,119.419998,128.039993,128.039993,139939600
2014-07-01,127.989998,129.210007,123.230003,123.389999,123.389999,140606000
2014-08-01,124.540001,126.809998,122.449997,123.860001,123.860001,118179700
2014-09-01,121.970001,122.660004,115.849998,116.209999,116.209999,140533100
2014-10-01,116.610001,120.500000,111.660004,112.660004,112.660004,155183900
2014-11-01,112.389999,115.959999,109.669998,112.110001,112.110001,147594200
2014-12-01,113.800003,118.989998,112.410004,113.580002,113.580002,153722200
2015-01-01,112.489998,125.580002,112.320000,123.449997,123.449997,198034100
2015-02-01,121.839996,123.160004,114.290001,116.160004,116.160004,125686200
2015-03-01,116.500000,116.639999,109.769997,113.660004,113.660004,133483100
2015-04-01,114.559998,117.470001,112.769997,113.470001,113.470001,106636600
2015-05-01,112.419998,117.879997,112.279999,114.099998,114.099998,99097100
2015-06-01,115.019997,115.610001,111.570000,112.370003,112.370003,110267600
2015-07-01,112.120003,112.580002,103.430000,104.930000,104.930000,157498100
2015-08-01,104.589996,112.120003,103.779999,107.730003,107.730003,170084800
2015-09-01,109.629997,110.820000,105.269997,106.860001,106.860001,113791100
2015-10-01,106.980003,113.989998,106.629997,109.300003,109.300003,131532500
2015-11-01,108.639999,108.839996,100.989998,101.919998,101.919998,106869000
2015-12-01,102.300003,104.209999,100.230003,101.459999,101.459999,124503700
2016-01-01,103.129997,107.930000,102.489998,106.949997,106.949997,139712800
2016-02-01,107.540001,120.839996,107.349998,118.639999,118.639999,314968700
2016-03-01,118.739998,122.370003,116.160004,117.639999,117.639999,259670200
2016-04-01,116.080002,123.930000,115.000000,123.650002,123.650002,222989100
2016-05-01,123.779999,123.959999,115.290001,116.059998,116.059998,201083100
2016-06-01,115.970001,127.050003,115.199997,126.470001,126.470001,307601400
2016-07-01,127.660004,131.149994,125.110001,128.979996,128.979996,259546000
2016-08-01,128.570007,130.550003,124.639999,124.779999,124.779999,215783900
2016-09-01,124.669998,129.080002,124.550003,125.639999,125.639999,213473800
2016-10-01,125.320000,125.459999,118.419998,121.940002,121.940002,181298100
2016-11-01,122.800003,124.760002,111.500000,111.750000,111.750000,247890600
2016-12-01,111.110001,112.500000,107.000000,109.610001,109.610001,159862800
2017-01-01,109.620003,116.169998,109.370003,115.550003,115.550003,150545100
2017-02-01,114.660004,120.400002,114.139999,119.230003,119.230003,150265000
2017-03-01,117.980003,120.080002,114.019997,118.720001,118.720001,172556100
2017-04-01,118.690002,123.070000,118.400002,120.769997,120.769997,176157400
2017-05-01,120.209999,121.230003,115.559998,120.620003,120.620003,160072400
2017-06-01,120.169998,123.309998,117.910004,118.019997,118.019997,160832400
2017-07-01,116.540001,120.860001,114.800003,120.750000,120.750000,128516200
2017-08-01,120.440002,125.870003,118.970001,125.820000,125.820000,179580900
2017-09-01,126.010002,128.320007,121.550003,121.580002,121.580002,174234300
2017-10-01,121.169998,123.970001,119.779999,120.669998,120.669998,137821900
2017-11-01,120.980003,123.330002,120.180000,121.099998,121.099998,121999200
2017-12-01,120.940002,124.089996,117.400002,123.650002,123.650002,145856700
2018-01-01,124.660004,129.509995,124.099998,127.650002,127.650002,184868100
2018-02-01,127.180000,128.699997,124.389999,125.000000,125.000000,176366400
2018-03-01,124.150002,128.580002,123.580002,125.790001,125.790001,143350600
2018-04-01,126.650002,129.470001,124.190002,124.589996,124.589996,148538100
2018-05-01,123.900002,125.589996,121.970001,123.099998,123.099998,136939000
2018-06-01,122.580002,123.860001,118.010002,118.650002,118.650002,133529400
2018-07-01,118.180000,119.730003,115.120003,115.989998,115.989998,130595500
2018-08-01,115.629997,115.699997,111.059998,113.510002,113.510002,148356600
2018-09-01,112.750000,114.779999,111.849998,112.760002,112.760002,97355900
2018-10-01,112.400002,117.650002,111.900002,115.150002,115.150002,228476300
2018-11-01,116.330002,117.070000,113.419998,115.540001,115.540001,186729200
2018-12-01,116.599998,121.260002,116.300003,121.250000,121.250000,178898300
2019-01-01,121.349998,125.230003,120.690002,124.750000,124.750000,195173300
2019-02-01,124.889999,127.209999,123.190002,123.989998,123.989998,141982900
2019-03-01,123.480003,125.110001,121.029999,122.010002,122.010002,168879600
2019-04-01,122.400002,123.769997,119.550003,121.199997,121.199997,124262600
2019-05-01,121.029999,123.400002,119.540001,123.330002,123.330002,140574200
2019-06-01,124.089996,135.550003,123.900002,133.199997,133.199997,205587500
2019-07-01,131.559998,136.630005,130.550003,133.210007,133.210007,226437500
2019-08-01,132.419998,145.679993,132.309998,143.750000,143.750000,322877500
2019-09-01,144.960007,146.820007,138.029999,138.869995,138.869995,233678500
2019-10-01,138.070007,143.250000,137.800003,142.429993,142.429993,178416900
2019-11-01,142.210007,142.899994,136.190002,137.860001,137.860001,139229300
2019-12-01,137.320007,143.600006,137.300003,142.899994,142.899994,121345200
2020-01-01,143.860001,149.679993,143.399994,149.330002,149.330002,194648100
2020-02-01,148.660004,158.529999,145.800003,148.380005,148.380005,254768800
2020-03-01,150.000000,159.369995,136.119995,148.050003,148.050003,457459900
2020-04-01,148.199997,164.419998,147.850006,158.800003,158.800003,260328300
2020-05-01,158.000000,164.960007,157.800003,162.910004,162.910004,235368600
2020-06-01,162.919998,167.990005,157.039993,167.369995,167.369995,222113900
2020-07-01,167.050003,173.250000,165.339996,173.000000,173.000000,145977600
