Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,32.529999,33.000000,32.380001,32.910000,24.846546,1223500
2011-02-01,32.770000,32.939999,32.279999,32.919998,24.854103,1253800
2011-03-01,32.720001,33.040001,32.599998,32.700001,24.754948,786300
2011-04-01,32.580002,33.189999,32.580002,33.189999,25.200146,569200
2011-05-01,33.020000,33.439999,33.020000,33.439999,25.463169,1072000
2011-06-01,33.389999,33.529999,33.099998,33.220001,25.369793,585600
2011-07-01,33.080002,33.689999,33.009998,33.689999,25.800480,402000
2011-08-01,33.590000,34.029999,33.189999,33.529999,25.751585,1067100
2011-09-01,33.450001,33.970001,33.040001,33.150002,25.530210,719100
2011-10-01,33.060001,33.610001,32.689999,33.570000,25.926367,688600
2011-11-01,33.490002,33.630001,32.700001,33.040001,25.589594,673600
2011-12-01,33.470001,33.470001,32.900002,33.209999,25.793489,1285000
2012-01-01,33.180000,33.910000,33.020000,33.830002,26.503992,1397600
2012-02-01,33.770000,34.119999,33.700001,34.070000,26.692009,969200
2012-03-01,33.939999,34.029999,33.630001,33.889999,26.623388,776300
2012-04-01,33.830002,34.070000,33.680000,34.020000,26.799450,784400
2012-05-01,33.990002,34.169998,33.740002,34.000000,26.855814,966200
2012-06-01,33.889999,34.169998,33.740002,34.130001,27.031607,969600
2012-07-01,34.049999,34.610001,34.029999,34.560001,27.447243,803700
2012-08-01,34.490002,34.700001,34.240002,34.700001,27.632114,1342500
2012-09-01,34.580002,34.919998,34.480000,34.880001,27.847155,796500
2012-10-01,34.820000,35.169998,34.730000,34.980000,27.998806,1260500
2012-11-01,35.029999,35.040001,34.860001,35.029999,28.109749,859600
2012-12-01,34.860001,35.000000,34.610001,34.820000,27.941238,1141700
2013-01-01,34.700001,34.830002,34.509998,34.549999,27.912043,2220700
2013-02-01,34.529999,34.790001,34.450001,34.779999,28.097837,1381400
2013-03-01,34.639999,34.750000,34.509998,34.720001,28.116104,2638500
2013-04-01,34.580002,35.029999,34.580002,34.959999,28.379824,2225100
2013-05-01,34.939999,34.980000,34.360001,34.430000,28.014122,1534200
2013-06-01,34.299999,34.380001,33.259998,33.590000,27.393328,1526400
2013-07-01,33.599998,33.900002,33.230000,33.669998,27.520927,1576600
2013-08-01,33.590000,33.750000,33.160000,33.439999,27.396545,3331400
2013-09-01,33.360001,33.900002,33.049999,33.740002,27.704880,2678000
2013-10-01,33.680000,34.130001,33.560001,34.070000,28.040407,3230200
2013-11-01,33.959999,33.970001,33.639999,33.880001,27.948647,2635100
2013-12-01,33.860001,33.919998,33.560001,33.599998,27.779634,2310100
2014-01-01,33.669998,34.009998,33.560001,34.000000,28.301525,2201500
2014-02-01,33.889999,34.180000,33.790001,34.180000,28.451368,1317700
2014-03-01,34.049999,34.130001,33.830002,34.000000,28.364941,2058300
2014-04-01,33.939999,34.200001,33.830002,34.130001,28.538523,1930400
2014-05-01,34.099998,34.480000,34.090000,34.419998,28.844635,1955300
2014-06-01,34.299999,34.480000,34.130001,34.459999,28.943451,1625500
2014-07-01,34.340000,34.450001,34.119999,34.220001,28.805477,2108200
2014-08-01,34.240002,34.570000,34.240002,34.480000,29.088488,1926600
2014-09-01,34.380001,34.380001,34.000000,34.130001,28.856466,2358700
2014-10-01,34.110001,34.770000,34.060001,34.330002,29.087994,1768000
2014-11-01,34.220001,34.410000,34.029999,34.389999,29.203844,1978500
2014-12-01,34.369999,34.369999,34.029999,34.180000,29.088224,2082000
2015-01-01,34.180000,34.810001,34.180000,34.810001,29.753563,2479700
2015-02-01,34.680000,34.740002,34.139999,34.459999,29.454407,2541100
2015-03-01,34.400002,34.610001,34.080002,34.540001,29.584824,3299100
2015-04-01,34.580002,34.740002,34.369999,34.520000,29.634783,4718600
2015-05-01,34.360001,34.520000,34.130001,34.320000,29.527191,5908900
2015-06-01,34.290001,34.290001,33.810001,33.970001,29.289701,10172200
2015-07-01,33.880001,34.130001,33.740002,34.009998,29.385828,7465000
2015-08-01,33.910000,34.020000,33.680000,33.790001,29.259476,5133300
2015-09-01,33.750000,34.000000,33.680000,33.950001,29.461273,4679700
2015-10-01,33.889999,34.200001,33.810001,33.950001,29.525930,4075600
2015-11-01,33.900002,33.959999,33.619999,33.880001,29.531170,5626900
2015-12-01,33.849998,33.930000,33.340000,33.430000,29.203440,3769500
2016-01-01,33.419998,33.720001,33.419998,33.650002,29.532108,4437900
2016-02-01,33.509998,33.840000,33.450001,33.840000,29.698856,7304500
2016-03-01,33.799999,34.310001,33.500000,34.270000,30.145212,14648600
2016-04-01,34.200001,34.490002,34.150002,34.470001,30.391193,5633600
2016-05-01,34.389999,34.570000,34.180000,34.320000,30.325310,11175000
2016-06-01,34.290001,34.900002,34.200001,34.889999,30.967396,6482600
2016-07-01,34.840000,35.020000,34.709999,35.020000,31.151762,6943400
