Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,121.570000,123.430000,119.290001,122.290001,115.149147,11844000
2016-09-01,122.309998,124.220001,118.709999,122.180000,115.045570,14590600
2016-10-01,121.849998,122.209999,116.370003,117.220001,110.900246,11520200
2016-11-01,117.459999,128.770004,114.070000,127.260002,120.398949,16511200
2016-12-01,127.930000,133.179993,126.279999,128.960007,122.007317,22018400
2017-01-01,130.300003,133.089996,128.820007,130.929993,124.581627,15682400
2017-02-01,131.710007,135.910004,130.100006,133.970001,127.474243,13945800
2017-03-01,135.479996,136.380005,128.809998,133.279999,126.817673,19209400
2017-04-01,133.410004,136.369995,130.199997,134.419998,128.317825,16083100
2017-05-01,134.789993,135.350006,130.460007,132.929993,126.895493,14479300
2017-06-01,133.289993,137.029999,132.940002,135.539993,129.387024,12325200
2017-07-01,136.100006,139.369995,134.020004,137.149994,131.179062,10748900
2017-08-01,137.710007,137.779999,131.250000,135.869995,129.954758,9633900
2017-09-01,136.080002,141.490005,134.509995,141.320007,135.167496,11704700
2017-10-01,141.410004,143.820007,141.149994,143.529999,137.811752,12954200
2017-11-01,144.339996,148.500000,140.350006,147.910004,142.017273,9993000
2017-12-01,148.000000,149.580002,144.220001,147.800003,141.911636,14771000
2018-01-01,148.330002,155.860001,147.869995,151.779999,146.499573,13661700
2018-02-01,151.479996,152.570007,137.800003,145.770004,140.698700,11833100
2018-03-01,145.539993,154.039993,143.690002,146.919998,141.808685,12908600
2018-04-01,146.570007,152.000000,142.380005,147.470001,142.769669,9407100
2018-05-01,147.289993,156.990005,145.880005,154.990005,150.049988,12801300
2018-06-01,156.080002,161.050003,154.029999,155.669998,150.708282,14612100
2018-07-01,154.839996,161.440002,154.419998,158.500000,153.816849,13363900
2018-08-01,158.559998,166.029999,157.440002,165.660004,160.765305,11581900
2018-09-01,165.470001,165.880005,161.470001,162.580002,157.776306,10348200
2018-10-01,163.250000,163.729996,140.899994,146.130005,142.378357,17495700
2018-11-01,146.679993,152.750000,141.919998,149.330002,145.496201,11128700
2018-12-01,151.539993,151.949997,123.800003,131.990005,128.601364,31453500
2019-01-01,130.309998,147.679993,129.059998,147.449997,144.476807,16421300
2019-02-01,147.800003,157.080002,147.240005,154.610001,151.492432,13815700
2019-03-01,155.820007,156.559998,148.869995,152.800003,149.718933,11205800
2019-04-01,153.919998,159.240005,153.600006,158.279999,155.579132,11692900
2019-05-01,158.720001,159.919998,146.089996,146.919998,144.412964,13659200
2019-06-01,146.960007,157.639999,146.380005,156.660004,153.986740,8838400
2019-07-01,158.600006,160.880005,156.350006,158.539993,156.330704,9143400
2019-08-01,158.860001,159.779999,147.679993,152.250000,150.128372,10336000
2019-09-01,151.169998,159.190002,149.710007,153.889999,151.745514,8771700
2019-10-01,154.529999,158.240005,147.490005,156.429993,154.692017,10183800
2019-11-01,157.380005,164.259995,157.050003,163.000000,161.189026,9377000
2019-12-01,163.410004,166.990005,159.259995,165.639999,163.799698,12604800
2020-01-01,166.500000,170.500000,161.860001,162.300003,161.360992,21845900
2020-02-01,163.229996,170.839996,144.429993,148.449997,147.591125,14499000
2020-03-01,149.070007,155.229996,95.510002,115.440002,114.772110,57193500
2020-04-01,110.790001,137.440002,104.830002,132.240005,131.942703,33203100
2020-05-01,129.600006,146.070007,121.000000,142.360001,142.039948,20249000
2020-06-01,142.970001,156.809998,138.119995,145.720001,145.392395,20142200
2020-07-01,146.139999,152.250000,142.100006,151.259995,151.259995,9257300
